id,course_title,course_organization,course_certificate_type,course_rating,course_difficulty,course_students_enrolled,course_tag
585,Machine Learning for All,University of London,COURSE,4.6,Beginner,19k,Academic;Machine Learning
264,Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58k,Google;Industry Leader;Machine Learning;Business;Advanced Content
178,Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15k,Google;Industry Leader;Machine Learning
321,Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120k,IBM;Industry Leader;Python;Machine Learning
125,Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72k,Google;Industry Leader;Machine Learning;Cloud Computing;Google Cloud
791,Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78k,Online Learning
435,Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43k,Online Learning
73,Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120k,Management
467,Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11k,Academic;Accounting
409,Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55k,Academic;Business;Economics
91,Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23k,Design
556,Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71k,Academic
558,Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27k,Academic
796,Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47k,Academic;Health
380,Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22k,Academic
241,Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81k,Marketing
325,Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39k,Marketing
449,Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49k,Marketing
140,Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93k,Marketing
211,Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57k,Marketing;Strategy
669,Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,58k,Marketing
367,Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60k,Marketing
310,Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310k,Academic;Marketing
